account_id,current_mrr,subscription_nb,contrat_type,licences,is_trial,upgrades_nbr,downgrades_nbr,auto_renew_flag,billing_frequency,industry,country,referral_source,churn_flag,total_usage,active_days_nbr,features_used_nbr,usage_time_total,beta_usage_count,total_errors,tickets_nb,resolution_time_avg,response_time_avg,satisfaction_avg,escalations_flag_nb,no_satisfaction_flag,seniority_days,days_since_last_activity,signup_seniority_days
A-02fac6,1078,11,Pro,22,0,1,0,1,monthly,FinTech,US,event,0,514,53,4.454545454545454,169854,5,34,6.0,23.333333333333332,100.5,4.0,0.0,0,437,4,635
A-038089,95,3,Basic,5,0,0,0,1,annual,DevTools,FR,other,1,210,20,6.0,63673,1,15,6.0,30.166666666666668,86.16666666666667,3.6666666666666665,0.0,0,187,33,378
A-0532a9,931,10,Pro,19,0,4,1,0,annual,FinTech,IN,event,0,519,54,5.2,157792,7,30,8.0,30.75,73.375,3.0,0.0,0,96,6,97
A-05f0e5,2842,12,Pro,58,0,2,0,1,annual,FinTech,US,partner,0,706,66,5.25,207116,9,46,4.0,20.0,108.5,4.0,0.0,0,569,1,607
A-09540c,3283,6,Pro,67,0,1,1,1,monthly,Cybersecurity,CA,event,0,297,28,4.166666666666667,94696,3,16,2.0,28.0,89.0,4.5,0.0,0,264,29,428
A-0a62f5,475,4,Basic,25,0,0,0,1,monthly,FinTech,UK,partner,0,244,25,5.75,74890,2,7,2.0,33.5,105.0,4.0,0.0,1,106,41,111
A-0b0d6d,1029,13,Pro,21,0,1,0,1,annual,DevTools,US,organic,0,582,62,4.615384615384615,162411,9,48,5.0,31.4,90.4,4.0,1.0,0,1,5,1
A-0baac2,2786,6,Enterprise,14,0,0,0,1,monthly,FinTech,DE,organic,1,202,21,3.5,73161,0,9,6.0,43.5,89.0,4.333333333333333,0.0,0,212,61,215
A-118d55,5771,12,Enterprise,29,0,3,4,1,monthly,Cybersecurity,US,organic,0,599,59,4.5,168143,5,33,5.0,24.2,56.8,4.333333333333333,0.0,0,66,1,70
A-149a69,646,3,Basic,34,0,0,0,1,monthly,DevTools,US,event,0,208,18,6.0,59894,1,9,8.0,33.875,120.875,4.2,0.0,0,26,136,75
A-151c9a,2548,5,Pro,52,0,0,1,0,monthly,FinTech,US,ads,0,366,34,6.8,120907,1,14,2.0,31.0,156.5,3.5,0.0,0,603,2,704
A-1f559b,190,10,Basic,10,0,0,1,0,annual,HealthTech,US,organic,1,400,40,3.8,117267,4,27,5.0,50.4,116.2,4.2,0.0,0,385,40,484
A-202b67,5771,9,Enterprise,29,0,1,0,1,monthly,HealthTech,US,organic,0,447,46,5.75,110514,5,40,4.0,36.75,90.5,4.666666666666667,0.0,0,279,3,284
A-241e75,95,5,Basic,5,0,0,1,1,monthly,EdTech,US,partner,0,266,27,5.0,100257,2,20,4.0,31.5,101.0,4.5,0.0,0,173,18,181
A-2922b6,980,6,Pro,20,0,1,0,0,annual,HealthTech,US,organic,0,393,37,6.0,117237,2,13,2.0,15.5,103.0,4.0,0.0,0,26,13,47
A-2d1036,3381,13,Pro,69,0,0,1,0,monthly,FinTech,US,ads,1,692,69,5.0,181335,10,40,5.0,37.8,49.0,4.6,1.0,0,181,1,200
A-2edab2,833,10,Pro,17,0,1,0,1,monthly,HealthTech,US,event,0,487,47,4.1,160804,5,26,4.0,30.0,102.25,3.0,0.0,0,405,9,410
A-354f12,133,4,Basic,7,0,0,1,1,monthly,FinTech,US,ads,0,158,15,3.75,48510,1,3,2.0,56.5,137.5,4.0,0.0,1,217,15,247
A-37f969,5970,8,Enterprise,30,0,2,0,1,annual,HealthTech,IN,partner,0,312,32,3.875,107852,5,14,5.0,22.2,94.0,3.6666666666666665,1.0,0,434,6,444
A-39ddf4,7960,9,Enterprise,40,0,0,0,1,monthly,EdTech,US,partner,0,455,46,5.0,139654,6,36,5.0,23.0,76.2,4.25,0.0,0,24,16,26
A-3d957b,2786,6,Enterprise,14,0,3,0,0,annual,HealthTech,UK,other,0,143,15,3.0,43699,3,13,3.0,41.333333333333336,79.33333333333333,3.0,0.0,0,169,72,271
A-425e76,1791,11,Enterprise,9,0,1,0,1,annual,DevTools,UK,other,1,438,48,4.7,136419,5,24,5.0,48.2,119.2,3.3333333333333335,1.0,0,559,10,594
A-42b791,380,7,Basic,20,0,0,0,0,monthly,FinTech,AU,event,0,312,32,4.0,84693,2,6,3.0,33.666666666666664,72.0,4.0,0.0,0,203,11,225
A-43a9e3,882,8,Pro,18,0,3,0,1,monthly,FinTech,IN,other,1,355,35,4.0,101136,2,14,3.0,38.0,73.33333333333333,4.0,0.0,0,468,2,502
A-443f6f,931,9,Pro,19,0,1,0,1,monthly,Cybersecurity,US,organic,0,527,56,5.888888888888889,158149,4,28,4.0,28.0,122.25,4.666666666666667,0.0,0,23,5,24
A-463db0,735,7,Pro,15,0,0,0,1,annual,HealthTech,US,partner,0,367,37,5.142857142857143,106259,3,13,6.0,50.166666666666664,94.83333333333333,4.25,1.0,0,22,4,26
A-484819,3582,8,Enterprise,18,0,3,0,1,monthly,HealthTech,US,organic,0,336,33,4.571428571428571,116076,3,20,5.0,33.2,139.6,4.5,0.0,0,677,10,679
A-4ae22a,532,7,Basic,28,0,0,0,1,annual,EdTech,US,other,1,369,34,4.714285714285714,142387,6,31,3.0,14.333333333333334,72.66666666666667,3.0,0.0,0,217,3,236
A-4c6f11,456,5,Basic,24,0,0,1,1,monthly,FinTech,CA,organic,1,268,24,4.6,84855,1,4,3.0,44.666666666666664,63.0,4.333333333333333,0.0,0,276,8,400
A-50bb9f,2646,8,Pro,54,0,2,0,1,annual,Cybersecurity,US,organic,0,276,24,3.2857142857142856,99328,5,15,7.0,33.285714285714285,74.71428571428571,4.0,0.0,0,162,8,172
A-51ec1b,3383,6,Enterprise,17,0,3,2,1,annual,DevTools,US,ads,0,283,28,4.666666666666667,111162,3,12,3.0,52.333333333333336,150.0,5.0,1.0,0,325,70,419
A-53f4e3,1421,10,Pro,29,0,0,0,1,monthly,Cybersecurity,UK,event,0,410,43,4.2,127529,1,45,5.0,28.6,99.0,4.0,0.0,0,197,11,200
A-558c72,735,7,Pro,15,0,1,0,1,annual,FinTech,US,organic,0,296,29,4.0,83537,4,16,4.0,64.25,79.25,4.5,1.0,0,568,17,579
A-5a3eb9,882,13,Pro,18,0,0,2,1,annual,DevTools,CA,other,0,722,69,4.846153846153846,216880,7,34,3.0,24.0,83.0,4.0,0.0,1,468,20,499
A-5b051a,1078,4,Pro,22,0,0,0,1,monthly,Cybersecurity,US,event,0,171,16,3.75,44864,3,17,1.0,2.0,2.0,3.0,0.0,0,104,24,148
A-5c046d,18507,8,Enterprise,93,0,0,0,1,annual,EdTech,FR,partner,0,475,46,5.625,127926,5,23,1.0,13.0,128.0,3.0,0.0,0,161,14,178
